Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Correspondence Address,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source
"Simon H.A.","7402135283;","Rational decision making in business organizations",1979,"American Economic Review","69","4",,"493","513",,1625,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986799029&partnerID=40&md5=987060131cf0a841757069f05616e7f2","Carnegie-Mellon University, United States","Simon, H.A., Carnegie-Mellon University, United States",,,"Simon, H.A.; Carnegie-Mellon UniversityUnited States",00028282,,,"Am. Econ. Rev.",Article,"Final","",Scopus
"DIAMOND D.W., VERRECCHIA R.E.","7102619783;6701596250;","Disclosure, Liquidity, and the Cost of Capital",1991,"The Journal of Finance","46","4",,"1325","1359",,1610,"10.1111/j.1540-6261.1991.tb04620.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942585214&doi=10.1111%2fj.1540-6261.1991.tb04620.x&partnerID=40&md5=9f61b0627320efaf587f1c7781229621",,"DIAMOND, D.W.; VERRECCHIA, R.E.",,,"DIAMOND, D.W.",00221082,,,"J. Financ.",Article,"Final","",Scopus
"Zyskind G., Nathan O., Pentland A.S.","56497185600;56938583400;7102755925;","Decentralizing privacy: Using blockchain to protect personal data",2015,"Proceedings - 2015 IEEE Security and Privacy Workshops, SPW 2015",,,"7163223","180","184",,1553,"10.1109/SPW.2015.27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945945234&doi=10.1109%2fSPW.2015.27&partnerID=40&md5=ae4989fda08224a7be5da44f91c5e39a","MIT Media Lab, Cambridge, MA, United States; Tel-Aviv University, Tel-Aviv, Israel","Zyskind, G., MIT Media Lab, Cambridge, MA, United States; Nathan, O., Tel-Aviv University, Tel-Aviv, Israel; Pentland, A.S., MIT Media Lab, Cambridge, MA, United States","Bitcoin; Blockchain; Personal data; Privacy","Access control; Chains; Computer privacy; Information management; Trusted computing; Bitcoin; Block-chain; Current modeling; Decentralized networks; Possible futures; Security breaches; Third parties; Data privacy",,,9781479999330,,"Proc. - IEEE Secur. Priv. Workshops, SPW",Conference Paper,"Final","",Scopus
"Zupic I., Čater T.","56634119900;35093738400;","Bibliometric Methods in Management and Organization",2015,"Organizational Research Methods","18","3",,"429","472",,1539,"10.1177/1094428114562629","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930985235&doi=10.1177%2f1094428114562629&partnerID=40&md5=7b7c6309c7eaf4a503fe921cf96c4bb3","University of Ljubljana, Ljubljana, Slovenia","Zupic, I., University of Ljubljana, Ljubljana, Slovenia; Čater, T., University of Ljubljana, Ljubljana, Slovenia","bibliographic coupling; bibliometrics; co-citation; science mapping",,"Zupic, I.; University of Ljubljana, Kardeljeva pl. 17, Slovenia; email: ivan.zupic@ef.uni-lj.si",10944281,,,"Org. Res. Methods",Article,"Final","All Open Access, Green",Scopus
"Brunnermeier M.K.","56009422500;","Deciphering the liquidity and credit crunch 2007-2008",2009,"Journal of Economic Perspectives","23","1",,"77","100",,1520,"10.1257/jep.23.1.77","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011655177&doi=10.1257%2fjep.23.1.77&partnerID=40&md5=17a5a82f8229160f09abcdace9ef7cfb","Department of Economics, Princeton University, Princeton, NJ, United States","Brunnermeier, M.K., Department of Economics, Princeton University, Princeton, NJ, United States",,,"Brunnermeier, M.K.; Department of Economics, United States; email: markus@princeton.edu",08953309,,,"J. Econ. Perspect.",Review,"Final","All Open Access, Bronze, Green",Scopus
"Kotsiantis S.B.","35584345800;","Supervised machine learning: A review of classification techniques",2007,"Informatica (Ljubljana)","31","3",,"249","268",,1504,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749047332&partnerID=40&md5=18e6b18aae6998616102de67f7ee9696","Department of Computer Science and Technology, University of Peloponnese, End of Karaiskaki, 22100 , Tripolis GR, Greece","Kotsiantis, S.B., Department of Computer Science and Technology, University of Peloponnese, End of Karaiskaki, 22100 , Tripolis GR, Greece","Classifiers; Data mining techniques; Intelligent data analysis; Learning algorithms","Classification (of information); Data mining; Engineering research; Feature extraction; Intelligent agents; Learning algorithms; Classification algorithms; Data mining techniques; Intelligent data analysis; Supervised machine learning; Supervised learning","Kotsiantis, S.B.; Department of Computer Science and Technology, , End of Karaiskaki, 22100 , Tripolis GR, Greece; email: sotos@math.upatras.gr",03505596,,INFOF,"Inf",Review,"Final","",Scopus
"Luthans F.","7003741372;","The need for and meaning of positive organizational behavior",2002,"Journal of Organizational Behavior","23","6",,"695","706",,1418,"10.1002/job.165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036340469&doi=10.1002%2fjob.165&partnerID=40&md5=a119b50769bd2306c9797c94ad0262a8","Department of Management, University of Nebraska, Lincoln, NE 68588-0491, United States","Luthans, F., Department of Management, University of Nebraska, Lincoln, NE 68588-0491, United States",,,"Luthans, F.; Department of Management, , Lincoln, NE 68588-0491, United States; email: fluthans1@unl.edu",08943796,,,"J. Organ. Behav.",Article,"Final","All Open Access, Bronze, Green",Scopus
"Bertrand M., Mullainathan S.","7202308604;6603277860;","Enjoying the quiet life? Corporate governance and managerial preferences",2003,"Journal of Political Economy","111","5",,"1043","1075",,1412,"10.1086/376950","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0344983396&doi=10.1086%2f376950&partnerID=40&md5=e45b332ee4506239eae2d5e0bc700593","University of Chicago, Chicago, United States; National Bureau of Economic Research, Chicago, United States; Centre for Economic Policy Research, Chicago, United States; Massachusetts Institute of Technology, Massachusetts, United States","Bertrand, M., University of Chicago, Chicago, United States, National Bureau of Economic Research, Chicago, United States, Centre for Economic Policy Research, Chicago, United States; Mullainathan, S., National Bureau of Economic Research, Chicago, United States, Massachusetts Institute of Technology, Massachusetts, United States",,"governance approach; management; political economy","Bertrand, M.; Centre for Economic Policy ResearchUnited States",00223808,,,"J. Polit. Econ.",Article,"Final","All Open Access, Green",Scopus
"Fama E.F., French K.R.","6603950815;7006094907;","Testing Trade-Off and Pecking Order Predictions About Dividends and Debt",2002,"Review of Financial Studies","15","1",,"1","33",,1405,"10.1093/rfs/15.1.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036116031&doi=10.1093%2frfs%2f15.1.1&partnerID=40&md5=448f04d8b2286e4947572e598a60af9a","Graduate School of Business, University of Chicago, 1101 East 58th St., Chicago, IL 60637, United States; Dartmouth College, United States","Fama, E.F., Graduate School of Business, University of Chicago, 1101 East 58th St., Chicago, IL 60637, United States; French, K.R., Dartmouth College, United States",,,"Fama, E.F.; Graduate School of Business, 1101 East 58th St., Chicago, IL 60637, United States; email: eugene.fama@gsb.uchicago.edu",08939454,,,"Rev. Financ. Stud.",Article,"Final","",Scopus
"Rock K.","24446285500;","Why new issues are underpriced",1986,"Journal of Financial Economics","15","1-2",,"187","212",,1397,"10.1016/0304-405X(86)90054-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000423667&doi=10.1016%2f0304-405X%2886%2990054-1&partnerID=40&md5=50e0fd22f7effc03e5d3747087249840","Harvard Business School, Boston, MA 02163, United States","Rock, K., Harvard Business School, Boston, MA 02163, United States",,,"Rock, K.; Harvard Business School, Boston, MA 02163, United States",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","",Scopus
"Downe-Wamboldt B.","6603837425;","Content analysis: Method, applications, and issues",1992,"Health Care for Women International","13","3",,"313","321",,1321,"10.1080/07399339209516006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026886213&doi=10.1080%2f07399339209516006&partnerID=40&md5=9f02c1192f62469b221807138e937de6","School of Nursing, Dalhousie University, Halifax, NS, Canada","Downe-Wamboldt, B., School of Nursing, Dalhousie University, Halifax, NS, Canada",,"article; human; methodology; nursing; organization and management; reproducibility; standard; Human; Nursing Methodology Research; Reproducibility of Results; Research Design","Downe-Wamboldt, B.; School of Nursing, , Halifax, NS, Canada",07399332,,,"Health Care Woman Int.",Article,"Final","",Scopus
"Andrade G., Mitchell M., Stafford E.","7003458167;55416563200;7004970573;","New evidence and perspectives on mergers",2001,"Journal of Economic Perspectives","15","2",,"103","120",,1295,"10.1257/jep.15.2.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000058833&doi=10.1257%2fjep.15.2.103&partnerID=40&md5=0d4b96894b8ffedff7bea7e21dacfb96","Dept. of Business Administration, Harvard Business School, Harvard University, Boston, MA, United States","Andrade, G., Dept. of Business Administration, Harvard Business School, Harvard University, Boston, MA, United States; Mitchell, M., Dept. of Business Administration, Harvard Business School, Harvard University, Boston, MA, United States; Stafford, E., Dept. of Business Administration, Harvard Business School, Harvard University, Boston, MA, United States",,,"Andrade, G.; Dept. of Business Administration, , Boston, MA, United States; email: gandrade@hbs.edu",08953309,,,"J. Econ. Perspect.",Review,"Final","All Open Access, Bronze",Scopus
"Najafabadi M.M., Villanustre F., Khoshgoftaar T.M., Seliya N., Wald R., Muharemagic E.","55536588000;56495372200;7006211475;6602947305;35812539800;16245971700;","Deep learning applications and challenges in big data analytics",2015,"Journal of Big Data","2","1","1","","",,1286,"10.1186/s40537-014-0007-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013977220&doi=10.1186%2fs40537-014-0007-7&partnerID=40&md5=c1817bbbcb6e985acea50051e2e9445d","Florida Atlantic University, 777 Glades Road, Boca Raton, FL, United States; LexisNexis Business Information Solutions, 245 Peachtree Center Avenue, Atlanta, GA, United States; LexisNexis Business Information Solutions, 6601 Park of Commerce Blvd, Boca Raton, FL, United States","Najafabadi, M.M., Florida Atlantic University, 777 Glades Road, Boca Raton, FL, United States; Villanustre, F., LexisNexis Business Information Solutions, 245 Peachtree Center Avenue, Atlanta, GA, United States; Khoshgoftaar, T.M., Florida Atlantic University, 777 Glades Road, Boca Raton, FL, United States; Seliya, N., Florida Atlantic University, 777 Glades Road, Boca Raton, FL, United States; Wald, R., Florida Atlantic University, 777 Glades Road, Boca Raton, FL, United States; Muharemagic, E., LexisNexis Business Information Solutions, 6601 Park of Commerce Blvd, Boca Raton, FL, United States","Big data; Deep learning",,"Wald, R.; Florida Atlantic University, 777 Glades Road, United States; email: rwald1@fau.edu",21961115,,,"J. Big Data",Article,"Final","All Open Access, Gold",Scopus
"Brotheridge C.M., Grandey A.A.","6602233010;6603322381;","Emotional labor and burnout: Comparing two perspectives of ""people work""",2002,"Journal of Vocational Behavior","60","1",,"17","39",,1272,"10.1006/jvbe.2001.1815","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036167531&doi=10.1006%2fjvbe.2001.1815&partnerID=40&md5=0f0f44d8ad209dfe08ac2ff86e3a41da","University of Regina, Canada; Pennsylvania State University, United States","Brotheridge, C.M., University of Regina, Canada; Grandey, A.A., Pennsylvania State University, United States",,,"Grandey, A.A.; Department of Psychology, , University Park, PA 16802, United States; email: aag6@psu.edu",00018791,,JVBHA,"J. Vocat. Behav.",Article,"Final","",Scopus
"Coval J.D., Moskowitz T.J.","6602458650;6603245402;","Home bias at home: Local equity preference in domestic portfolios",1999,"Journal of Finance","54","6",,"2045","2073",,1220,"10.1111/0022-1082.00181","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007884883&doi=10.1111%2f0022-1082.00181&partnerID=40&md5=73e37e5a78769c96b5857ad4cd3cba7c","University of Michigan Business School, Michigan, United States; Graduate School of Business, University of Chicago, Illinois, United States","Coval, J.D., University of Michigan Business School, Michigan, United States; Moskowitz, T.J., Graduate School of Business, University of Chicago, Illinois, United States",,,,00221082,,,"J. Financ.",Article,"Final","",Scopus
"Hashem Pesaran M., Yamagata T.","56580592100;10138838100;","Testing slope homogeneity in large panels",2008,"Journal of Econometrics","142","1",,"50","93",,1191,"10.1016/j.jeconom.2007.05.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-36148936715&doi=10.1016%2fj.jeconom.2007.05.010&partnerID=40&md5=2e8b2c6385531330beeeb77e8cb4efce","University of Cambridge, USC, United Kingdom; CFAP, Judge Business School, University of Cambridge, United Kingdom","Hashem Pesaran, M., University of Cambridge, USC, United Kingdom; Yamagata, T., CFAP, Judge Business School, University of Cambridge, United Kingdom","Dispersion tests; Large panels; Monte Carlo results; Tests of slope homogeneity","Mathematical models; Monte Carlo methods; Standardization; Time series analysis; Dispersion tests; Mean-variance; Slope homogeneity; Standard normal distribution; Regression analysis","Hashem Pesaran, M.; University of Cambridge, United Kingdom; email: mhp1@econ.cam.ac.uk",03044076,,JECMB,"J Econom",Article,"Final","All Open Access, Green",Scopus
"Moeller S.B., Schlingemann F.P., Stulz R.M.","8210082100;6505758220;7004675901;","Firm size and the gains from acquisitions",2004,"Journal of Financial Economics","73","2",,"201","228",,1136,"10.1016/j.jfineco.2003.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-3342932318&doi=10.1016%2fj.jfineco.2003.07.002&partnerID=40&md5=5bd79ac377a5a6dc15d2be870dcc321a","Cox School of Business, Southern Methodist University, Dallas, TX 75275, United States; Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, PA 15260, United States; Department of Finance, Fisher College of Business, 2100 Neil Avenue, Columbus, OH 43210, United States","Moeller, S.B., Cox School of Business, Southern Methodist University, Dallas, TX 75275, United States; Schlingemann, F.P., Katz Graduate School of Business, University of Pittsburgh, Pittsburgh, PA 15260, United States; Stulz, R.M., Department of Finance, Fisher College of Business, 2100 Neil Avenue, Columbus, OH 43210, United States","Acquisitions; Bidder; Organizational form; Size effect",,"Stulz, R.M.; Department of Finance, 2100 Neil Avenue, Dallas, TX 75275, United States; email: stulz@cob.osu.edu",0304405X,,JFECD,"J. Financ. Econ.",Article,"Final","",Scopus
