raw_source_title,issn,eissn,subject_areas
Acta Crystallographica Section A: Foundations and Advances,,20532733,"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy"
Acta Crystallographica Section A: Foundations of Crystallography,01087673,16005724,"Biochemistry, Genetics and Molecular Biology"
Acta Crystallographica Section B: Structural Science,01087681,16005740,"Biochemistry, Genetics and Molecular Biology"
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",20525192,20525206,Materials Science; Physics and Astronomy
Acta Crystallographica Section C: Crystal Structure Communications,01082701,16005759,"Biochemistry, Genetics and Molecular Biology"
Acta Crystallographica Section D: Biological Crystallography,09074449,13990047,"Biochemistry, Genetics and Molecular Biology"
Acta Crystallographica Section D: Structural Biology,,20597983,"Biochemistry, Genetics and Molecular Biology"
Acta Crystallographica Section E: Crystallographic Communications,,20569890,Chemistry; Materials Science; Physics and Astronomy
Acta Crystallographica Section E: Structure Reports Online,,16005368,Chemistry; Materials Science; Physics and Astronomy
Acta Crystallographica Section F: Structural Biology and Crystallization Communications,17443091,,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
Acta Crystallographica Section F:Structural Biology Communications,,2053230X,"Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
Acta crystallographica. Section B: Structural crystallography and crystal chemistry,05677408,,Medicine
"Acta crystallographica. Section C, Structural chemistry",,20532296,Chemistry; Materials Science; Physics and Astronomy
Acta Cybernetica,0324721X,,Computer Science; Decision Sciences; Engineering; Mathematics
Acta Cytologica,00015547,19382650,Medicine
Acta Dermatologica,00651176,,Medicine
Acta dermatologica-Kyoto. English edition,03760189,,Medicine
Acta Dermato-Venereologica,00015555,16512057,Medicine
"Acta Dermato-Venereologica, Supplement",03658341,,Medicine
"Acta Dermatovenerologica Alpina, Pannonica et Adriatica",13184458,15812979,Medicine
Acta Dermatovenerologica Croatica,1330027X,18476538,Medicine
Acta Dermatovenerologica Iugoslavica,03024466,,Medicine
Acta Diabetologica,09405429,14325233,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta Diabetologica Latina,00015563,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta Didactica Norden,,25358219,Social Sciences
Acta Didactica Norge,,15049922,Social Sciences
Acta Ecologica Sinica,18722032,,Agricultural and Biological Sciences; Environmental Science
Acta Embryologiae et Morphologiae Experimentalis,03919706,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta embryologiae et morphologiae experimentalis,05677416,,Medicine
Acta Embryologiae Experimentalis,00651184,,Medicine
Acta Endocrinologica,00015598,,"Biochemistry, Genetics and Molecular Biology"
Acta Endocrinologica,18410987,1843066X,"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
Acta endocrinologica Iberica,04004000,,Medicine
"Acta Endocrinologica, Supplement",03009750,,"Biochemistry, Genetics and Molecular Biology"
Acta Endoscopica,0240642X,19585454,Medicine
Acta Endoscopica et Radiocinematographica,03979164,,Medicine
Acta Endoscopica Polona,08674140,,Medicine
Acta Entomologica Musei Nationalis Pragae,03741036,18046487,Agricultural and Biological Sciences
Acta Entomologica Sinica,04546296,,Earth and Planetary Sciences; Environmental Science
Acta Epileptologica,20969384,25244434,Medicine; Neuroscience
Acta et Commentationes Universitatis Tartuensis de Mathematica,14062283,22284699,Mathematics
Acta Ethnographica Hungarica,12169803,15882586,Arts and Humanities; Social Sciences
Acta Ethologica,08739749,14379546,Agricultural and Biological Sciences
Acta Facultatis Medicae Fluminensis,00651206,,Medicine
Acta Facultatis Medicae Naissensis,03516083,22172521,Medicine
Acta Facultatis Pharmaceuticae Universitatis Comenianae,03012298,13386786,"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Acta Facultatis Philosophicae Universitatis Ostravienis Studia Germanistica,1803408X,25710273,Arts and Humanities; Social Sciences
Acta Facultatis Xylologiae,13363824,,Agricultural and Biological Sciences
Acta Forestalia Fennica,00015636,,Agricultural and Biological Sciences
Acta Fytotechnica et Zootechnica,1335258X,13369245,Agricultural and Biological Sciences
Acta Gastro-Enterologica Belgica,00015644,,Medicine
Acta Gastroenterologica Latinoamericana,03009033,,Medicine
Acta Genetica et Statistica Medica,05677440,03652785,Energy; Environmental Science; Mathematics
Acta Geneticae Medicae et Gemellologiae,00015660,,Medicine
Acta Geochimica,20960956,23657499,Earth and Planetary Sciences
Acta Geodaetica et Cartographica Sinica,10011595,,Earth and Planetary Sciences
Acta Geodaetica et Geophysica,22135812,22135820,Earth and Planetary Sciences; Engineering
Acta Geodaetica et Geophysica Hungarica,12178977,15871037,Earth and Planetary Sciences; Engineering
"Acta Geodaetica, Geophysica et Montanistica",03741842,,Earth and Planetary Sciences; Environmental Science
"Acta Geodaetica, Geophysica et Montanistica Hungarica",02365758,,Earth and Planetary Sciences; Environmental Science
Acta Geodynamica et Geomaterialia,12149705,,Earth and Planetary Sciences
Acta Geographica,00015687,,Earth and Planetary Sciences; Social Sciences
Acta Geographica Croatica,13300466,,Earth and Planetary Sciences; Social Sciences
Acta Geographica Lodziensia,00651249,,Earth and Planetary Sciences; Social Sciences
Acta Geographica Lovaniensia,00651257,,Earth and Planetary Sciences; Environmental Science
Acta Geographica Slovenica,15816613,15818314,Earth and Planetary Sciences; Social Sciences
Acta Geographica Universitatis Comenianae,13386034,,Earth and Planetary Sciences; Environmental Science; Social Sciences
Acta Geologica Hispanica,05677505,,Earth and Planetary Sciences
Acta Geologica Hungarica,02365278,15882594,Earth and Planetary Sciences
Acta Geologica Polonica,00015709,,Earth and Planetary Sciences
Acta Geologica Sinica (English Edition),10009515,17556724,Earth and Planetary Sciences
Acta Geologica Slovaca,13380044,13385674,Earth and Planetary Sciences
Acta Geophysica,18956572,18957455,Earth and Planetary Sciences
Acta Geophysica Polonica,00015725,,Earth and Planetary Sciences
Acta Geophysica Sinica,00015733,,Earth and Planetary Sciences
Acta Geoscientica Sinica,10063021,,Earth and Planetary Sciences
Acta Geotechnica,18611125,18611133,Earth and Planetary Sciences
Acta Geotechnica Slovenica,18540171,,Earth and Planetary Sciences
Acta Ginecologica,00015776,,Medicine
Acta Gymnica,23364912,23364920,Health Professions
Acta gynaecologica et obstetrica Hispano-Lusitana,00015784,,Medicine
Acta Haematologica,00015792,14219662,Medicine
Acta Haematologica Polonica,00015814,23007117,Medicine
Acta Hepato-Gastroenterologica,0300970X,,Medicine
Acta hepatologica,03652858,,Medicine
Acta hepato-splenologica,00015822,,Medicine
Acta Herpetologica,18279635,18279643,Agricultural and Biological Sciences
Acta Histochemica,00651281,16180372,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta Histochemica et Cytochemica,00445991,13475800,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta Historiae Artis Slovenica,14080419,,Arts and Humanities; Social Sciences
Acta Historiae Artium,00015830,15882608,Arts and Humanities; Social Sciences
Acta historica Leopoldina,00015857,,Medicine
Acta historica scientiarum naturalium et medicinalium,00651311,,Medicine
Acta Historica Tallinnensia,14062925,17367476,Arts and Humanities
Acta Historica Universitatis Klaipedensis,13924095,23516526,Arts and Humanities
Acta Histriae,13180185,,Arts and Humanities
Acta Horticulturae,05677572,,Agricultural and Biological Sciences
Acta Horticulturae Sinica,0513353X,,Agricultural and Biological Sciences
Acta Hospitalia,00446009,,Medicine
Acta Hydrobiologica Sinica,10003207,,Agricultural and Biological Sciences; Environmental Science
Acta Hydrochimica et Hydrobiologica,03234320,1521401X,Agricultural and Biological Sciences; Environmental Science
Acta Hydrologica Slovaca,,26444690,Earth and Planetary Sciences; Environmental Science
Acta Hydrotechnica,03523551,15810267,Earth and Planetary Sciences; Environmental Science
Acta Ichthyologica et Piscatoria,01371592,17341515,Agricultural and Biological Sciences
Acta IMEKO,0237028X,2221870X,Engineering; Physics and Astronomy
Acta Informatica,00015903,14320525,Computer Science
Acta Informatica Medica,03538109,19865988,Medicine
Acta Informatica Pragensia,,18054951,"Business, Management and Accounting; Computer Science; Social Sciences"
Acta Innovations,,23005599,Energy; Environmental Science
Acta Juridica Hungarica,12162574,15882616,Social Sciences
Acta Koreana,15207412,,Arts and Humanities; Social Sciences
Acta Leidensia,00651362,,Medicine
Acta Leprologica,00015938,,Medicine
Acta Limnologica Brasiliensia,01026712,2179975X,Agricultural and Biological Sciences; Environmental Science
Acta Linguistica Academica,25598201,,Arts and Humanities; Social Sciences
Acta Linguistica Asiatica,,22323317,Arts and Humanities; Social Sciences
Acta Linguistica Hafniensia,03740463,,Arts and Humanities; Social Sciences
Acta Linguistica Hungarica,12168076,15882624,Arts and Humanities; Social Sciences
Acta Linguistica Lithuanica,16484444,2669218X,Arts and Humanities; Social Sciences
Acta Linguistica Petropolitana,23065737,26584069,Arts and Humanities; Social Sciences
Acta Literaria,07160909,07176848,Arts and Humanities
Acta Logistica,,13395629,"Business, Management and Accounting; Engineering; Social Sciences"
Acta Marisiensis - Seria Medica,26687755,26687763,"Medicine; Pharmacology, Toxicology and Pharmaceutics; Dentistry"
Acta Materialia,13596454,,Materials Science
Acta Mathematica,00015962,,Mathematics
Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,08660182,17860091,Mathematics; Social Sciences
Acta Mathematica Academiae Scientiarum Hungaricae,00015954,,Mathematics
Acta Mathematica Hungarica,02365294,15882632,Mathematics
Acta Mathematica Scientia,02529602,15729087,Mathematics; Physics and Astronomy
Acta Mathematica Sinica,10009574,,Mathematics
"Acta Mathematica Sinica, Chinese Series",05831431,,Mathematics
"Acta Mathematica Sinica, English Series",14398516,14397617,Mathematics
Acta Mathematica Universitatis Comenianae,08629544,13360310,Mathematics
Acta Mathematica Vietnamica,02514184,,Mathematics
Acta Mathematicae Applicatae Sinica,01689673,,Mathematics
Acta Mechanica,00015970,16196937,Engineering
Acta Mechanica et Automatica,18984088,,Engineering
Acta Mechanica Sinica/Lixue Xuebao,05677718,16143116,Engineering
Acta Mechanica Solida Sinica,08949166,18602134,Engineering
Acta Medica,12114286,18059694,Medicine; Health Professions
"Acta medica (Hradec Králové). Supplementum Universitas Carolina, Facultas Medica Hradec Králové",1211247X,,Medicine
Acta Medica Academiae Scientiarum Hungaricae,00015989,,Medicine
Acta Medica Academica,18401848,18402879,Medicine; Veterinary
Acta Medica Austriaca,03038173,15632571,Medicine
Acta medica Austriaca. Supplement,03038181,,Medicine
Acta Medica Auxologica,00016004,,Medicine
Acta Medica Bulgarica,03241750,,Medicine
Acta Medica Croatica,13300164,,Medicine
Acta Medica Dominicana,03794857,,Medicine
Acta Medica et Biologica,05677734,,"Biochemistry, Genetics and Molecular Biology"
Acta Medica Hungarica,02365286,,Medicine
Acta Medica Indonesiana,01259326,23382732,Immunology and Microbiology; Medicine
Acta Medica Iranica,00446025,17359694,Medicine
Acta medica Italica di malattie infettive e parassitarie,03653285,,Medicine
Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia,00016039,,Medicine
Acta Medica Iugoslavica,03758338,,Medicine
Acta Medica Lituanica,13920138,20294174,Medicine
Acta Medica Mediterranea,03936384,,Medicine
Acta Medica Nagasakiensia,00016055,,Medicine
Acta Medica Okayama,0386300X,,"Biochemistry, Genetics and Molecular Biology; Medicine"
Acta medica Orientalia,03654540,,Medicine
Acta Medica Peruana,10188800,17285917,Medicine
Acta Medica Philippina,00016071,20949278,Medicine
Acta Medica Portuguesa,0870399X,16460758,Medicine
Acta Medica Romana,00016098,,Medicine
Acta Medica Saliniana,0350364X,18403956,Medicine
Acta Medica Scandinavica,00016101,,Medicine
"Acta Medica Scandinavica, Supplement",0365463X,,Medicine
Acta medicinae Okayama,00016152,,Medicine
Acta Medico-Historica Rigensia,10228012,2592818X,Arts and Humanities
Acta Metallurgica,00016160,,Engineering
Acta Metallurgica et Materialia,09567151,,Engineering
Acta Metallurgica Sinica (English Letters),10067191,,Engineering; Materials Science
"Acta Metallurgica Sinica Series A, Physical Metallurgy & Materials Science",10009442,,Engineering
"Acta Metallurgica Sinica Series B, Process Metallurgy & Miscellaneous",10009450,,Engineering
Acta Metallurgica Slovaca,13351532,13381156,Materials Science
Acta Meteorological Sinica (English Edition),08940525,21914788,Earth and Planetary Sciences; Engineering
Acta Microbiologica Academiae Scientiarum Hungaricae,00016187,,Medicine
Acta Microbiologica Bulgarica,02048809,26033755,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Acta Microbiologica et Immunologica Hungarica,12178950,15882640,Immunology and Microbiology; Medicine
Acta Microbiologica Hellenica,04389573,24594113,Medicine
Acta Microbiologica Hungarica,02314622,,Immunology and Microbiology; Medicine
Acta Microbiologica Polonica,01371320,,Immunology and Microbiology
